ID do Cliente,Idade,Gênero,Item Comprado,Categoria,Valor da Compra (R$),Localização,Tamanho,Cor,Estação,Avaliação,Status de Assinatura,Tipo de Envio,Desconto Aplicado,Código Promocional Utilizado,Compras Anteriores,Método de Pagamento,Frequência de Compras
32,33,Masculino,Dress,Roupas,79,West Virginia,L,Marrom,Inverno,4.7,Sim,Retirada Na Loja,Sim,Sim,45,Venmo,Por Mês
33,36,Masculino,Jacket,Agasalhos,67,Kansas,M,Prata,Verão,4.9,Sim,Frete Grátis,Sim,Sim,37,Venmo,Anualmente
34,54,Masculino,Pants,Roupas,38,Colorado,L,Verde,Verão,3.3,Sim,Retirada Na Loja,Sim,Sim,45,Cash,Trimestral
35,36,Masculino,T-shirt,Roupas,91,North Dakota,L,Tolet,Primavera,4.6,Sim,Envio Em 2 Dias,Sim,Sim,38,PayPal,Trimestral
36,54,Masculino,Blouse,Roupas,33,Massachusetts,M,Ciano,Verão,4,Sim,Envio Em 2 Dias,Sim,Sim,48,CVermelhoit Card,Bi-Semanalmente
37,35,Masculino,T-shirt,Roupas,69,Illinois,M,Marrom,Inverno,4.6,Sim,Frete Grátis,Sim,Sim,44,PayPal,Quinzenal
38,35,Masculino,Jeans,Roupas,45,Indiana,S,Ciano,Verão,2.8,Sim,Retirada Na Loja,Sim,Sim,10,PayPal,Semanalmente
39,29,Masculino,Dress,Roupas,37,Florida,M,Vermelho,Inverno,3.7,Sim,Envio Em 2 Dias,Sim,Sim,44,Venmo,Cada 3 Meses
40,70,Masculino,Pants,Roupas,60,Arizona,S,Turquesa,Verão,4.2,Sim,Expressa,Sim,Sim,18,CVermelhoit Card,Por Mês
41,69,Masculino,Handbag,Acessórios,76,Louisiana,L,Bege,Inverno,4.6,Sim,Ar Do Dia Seguinte,Sim,Sim,31,Debit Card,Trimestral
42,67,Masculino,Scarf,Acessórios,39,Alaska,M,Laranja,Primavera,4.5,Sim,Padrão,Sim,Sim,40,Venmo,Anualmente
43,20,Masculino,Coat,Agasalhos,100,Tennessee,M,Bege,Primavera,4.1,Sim,Frete Grátis,Sim,Sim,15,PayPal,Anualmente
44,25,Masculino,Scarf,Acessórios,69,Ohio,L,Lavanda,Cair,3.7,Sim,Retirada Na Loja,Sim,Sim,19,PayPal,Quinzenal
45,39,Masculino,Hat,Acessórios,53,Kentucky,S,Prata,Verão,4.6,Sim,Frete Grátis,Sim,Sim,45,PayPal,Semanalmente
46,50,Masculino,Socks,Roupas,21,Tennessee,XL,Indigo,Cair,2.9,Sim,Envio Em 2 Dias,Sim,Sim,25,PayPal,Anualmente
47,57,Masculino,Shirt,Roupas,43,California,L,Branco,Verão,2.9,Sim,Retirada Na Loja,Sim,Sim,45,Cash,Trimestral
48,55,Masculino,Jewelry,Acessórios,54,Montana,M,Carvão,Inverno,4.5,Sim,Frete Grátis,Sim,Sim,36,Cash,Semanalmente
49,42,Masculino,Shirt,Roupas,55,Nevada,M,Laranja,Verão,2.7,Sim,Retirada Na Loja,Sim,Sim,38,Cash,Por Mês
50,68,Masculino,Hoodie,Roupas,30,New Jersey,S,Indigo,Primavera,4.6,Sim,Ar Do Dia Seguinte,Sim,Sim,34,Debit Card,Bi-Semanalmente
51,49,Masculino,Blouse,Roupas,28,Maryland,M,Vermelho,Primavera,3.7,Sim,Retirada Na Loja,Sim,Sim,39,Debit Card,Bi-Semanalmente
52,59,Masculino,Skirt,Roupas,59,Vermont,XL,Cinza,Inverno,4.7,Sim,Envio Em 2 Dias,Sim,Sim,7,CVermelhoit Card,Trimestral
53,42,Masculino,T-shirt,Roupas,20,Alaska,M,Verde,Verão,2.6,Sim,Frete Grátis,Sim,Sim,26,CVermelhoit Card,Semanalmente
54,29,Masculino,Skirt,Roupas,24,Mississippi,S,Pêssego,Inverno,3.9,Sim,Ar Do Dia Seguinte,Sim,Sim,35,CVermelhoit Card,Semanalmente
55,47,Masculino,Coat,Agasalhos,94,New Mexico,M,Marrom,Verão,4.2,Sim,Ar Do Dia Seguinte,Sim,Sim,35,Debit Card,Bi-Semanalmente
56,40,Masculino,Jacket,Agasalhos,28,South Carolina,M,Lavanda,Inverno,3,Sim,Envio Em 2 Dias,Sim,Sim,49,CVermelhoit Card,Anualmente
57,41,Masculino,Backpack,Acessórios,73,Mississippi,XL,Marrom,Verão,4.7,Sim,Retirada Na Loja,Sim,Sim,46,CVermelhoit Card,Semanalmente
58,21,Masculino,Coat,Agasalhos,64,West Virginia,M,Branco,Verão,4.4,Sim,Retirada Na Loja,Sim,Sim,17,Debit Card,Quinzenal
59,69,Masculino,Hoodie,Roupas,54,Missouri,M,Carvão,Verão,4.2,Sim,Frete Grátis,Sim,Sim,29,Venmo,Por Mês
60,63,Masculino,Belt,Acessórios,79,Louisiana,L,Yellow,Primavera,4.6,Sim,Padrão,Sim,Sim,4,Debit Card,Semanalmente
61,50,Masculino,Sweater,Roupas,37,Idaho,L,Marrom,Verão,4,Sim,Expressa,Sim,Sim,17,Cash,Semanalmente
62,55,Masculino,Scarf,Acessórios,68,Texas,M,Laranja,Inverno,4.7,Sim,Retirada Na Loja,Sim,Sim,21,CVermelhoit Card,Cada 3 Meses
63,30,Masculino,Sneakers,Calçados,21,Mississippi,S,Magenta,Primavera,3.8,Sim,Frete Grátis,Sim,Sim,31,CVermelhoit Card,Quinzenal
64,33,Masculino,Sunglasses,Acessórios,79,Arizona,L,Lavanda,Inverno,2.7,Sim,Envio Em 2 Dias,Sim,Sim,43,CVermelhoit Card,Semanalmente
65,65,Masculino,Boots,Calçados,83,Alabama,S,Verde,Cair,4.8,Sim,Padrão,Sim,Sim,18,Debit Card,Quinzenal
66,65,Masculino,Backpack,Acessórios,36,New Jersey,M,Roxa,Primavera,4.8,Sim,Envio Em 2 Dias,Sim,Sim,44,Venmo,Cada 3 Meses
67,31,Masculino,Blouse,Roupas,94,Pennsylvania,S,Magenta,Inverno,4.7,Sim,Envio Em 2 Dias,Sim,Sim,3,Venmo,Cada 3 Meses
68,45,Masculino,Coat,Agasalhos,33,Connecticut,L,Cinza,Inverno,4.4,Sim,Retirada Na Loja,Sim,Sim,49,Debit Card,Por Mês
69,57,Masculino,Handbag,Acessórios,46,Utah,L,Prata,Verão,3.9,Sim,Ar Do Dia Seguinte,Sim,Sim,21,Cash,Cada 3 Meses
70,48,Masculino,Belt,Acessórios,70,Tennessee,S,Ciano,Verão,4.4,Sim,Expressa,Sim,Sim,5,Cash,Semanalmente
71,22,Masculino,Belt,Acessórios,29,Alabama,M,Magenta,Cair,4.2,Sim,Expressa,Sim,Sim,32,Debit Card,Cada 3 Meses
72,36,Masculino,Dress,Roupas,48,Virginia,L,Ouro,Verão,2.9,Sim,Expressa,Sim,Sim,34,Bank Transfer,Anualmente
73,18,Masculino,Dress,Roupas,26,Georgia,M,Oliva,Inverno,2.9,Sim,Retirada Na Loja,Sim,Sim,21,Bank Transfer,Cada 3 Meses
74,48,Masculino,Pants,Roupas,85,Hawaii,M,Cerceta,Primavera,2.7,Sim,Frete Grátis,Sim,Sim,43,Bank Transfer,Bi-Semanalmente
75,49,Masculino,Gloves,Acessórios,58,Indiana,L,Tolet,Primavera,4.5,Sim,Expressa,Sim,Sim,3,Cash,Por Mês
76,64,Masculino,Scarf,Acessórios,85,Utah,M,Azul,Verão,2.7,Sim,Frete Grátis,Sim,Sim,21,CVermelhoit Card,Anualmente
77,50,Masculino,Hat,Acessórios,43,Delaware,S,Cerceta,Verão,4.2,Sim,Frete Grátis,Sim,Sim,32,Venmo,Por Mês
78,22,Masculino,Dress,Roupas,53,Delaware,L,Ouro,Verão,3.3,Sim,Ar Do Dia Seguinte,Sim,Sim,36,Debit Card,Quinzenal
79,50,Masculino,Skirt,Roupas,91,Nebraska,M,Marrom,Primavera,4.7,Sim,Frete Grátis,Sim,Sim,50,Venmo,Quinzenal
80,38,Masculino,Jacket,Agasalhos,96,Iowa,M,Oliva,Inverno,2.6,Sim,Envio Em 2 Dias,Sim,Sim,43,Bank Transfer,Cada 3 Meses
81,19,Masculino,Sandals,Calçados,72,New York,XL,Azul,Verão,3.3,Sim,Retirada Na Loja,Sim,Sim,24,CVermelhoit Card,Cada 3 Meses
82,67,Masculino,Shoes,Calçados,96,Virginia,L,Marrom,Verão,2.6,Sim,Expressa,Sim,Sim,36,CVermelhoit Card,Cada 3 Meses
83,19,Masculino,Pants,Roupas,28,Georgia,S,Oliva,Primavera,4,Sim,Envio Em 2 Dias,Sim,Sim,21,CVermelhoit Card,Cada 3 Meses
84,36,Masculino,Dress,Roupas,40,Texas,M,Turquesa,Verão,4.1,Sim,Padrão,Sim,Sim,34,Bank Transfer,Semanalmente
85,52,Masculino,Coat,Agasalhos,32,Arizona,S,Pêssego,Primavera,4.4,Sim,Padrão,Sim,Sim,42,Bank Transfer,Cada 3 Meses
86,53,Masculino,Sunglasses,Acessórios,95,New Mexico,M,Carvão,Inverno,4.5,Sim,Ar Do Dia Seguinte,Sim,Sim,2,Debit Card,Bi-Semanalmente
87,24,Masculino,Hoodie,Roupas,41,Nevada,L,Rosa,Primavera,3.7,Sim,Envio Em 2 Dias,Sim,Sim,47,Cash,Bi-Semanalmente
88,52,Masculino,Shoes,Calçados,53,Ohio,M,Verde,Cair,3.7,Sim,Envio Em 2 Dias,Sim,Sim,44,Debit Card,Quinzenal
89,33,Masculino,T-shirt,Roupas,47,Wyoming,M,Laranja,Cair,3.5,Sim,Frete Grátis,Sim,Sim,35,CVermelhoit Card,Por Mês
90,47,Masculino,Jacket,Agasalhos,83,California,XL,Rosa,Cair,3.6,Sim,Ar Do Dia Seguinte,Sim,Sim,15,Cash,Trimestral
91,25,Masculino,Hat,Acessórios,48,South Carolina,L,Tolet,Verão,2.9,Sim,Expressa,Sim,Sim,29,CVermelhoit Card,Por Mês
92,44,Masculino,Scarf,Acessórios,99,South Carolina,S,Verde,Inverno,4.6,Sim,Padrão,Sim,Sim,18,CVermelhoit Card,Cada 3 Meses
93,61,Masculino,Jacket,Agasalhos,87,Texas,M,Oliva,Inverno,4.4,Sim,Envio Em 2 Dias,Sim,Sim,13,Venmo,Cada 3 Meses
94,37,Masculino,Sweater,Roupas,62,Florida,M,Roxa,Cair,4.5,Sim,Padrão,Sim,Sim,46,CVermelhoit Card,Semanalmente
95,58,Masculino,Skirt,Roupas,76,Nevada,S,Prata,Primavera,4.6,Sim,Frete Grátis,Sim,Sim,28,CVermelhoit Card,Semanalmente
96,37,Masculino,Sneakers,Calçados,100,Missouri,L,Rosa,Cair,3.8,Sim,Frete Grátis,Sim,Sim,48,PayPal,Por Mês
97,32,Masculino,Gloves,Acessórios,73,Delaware,S,Ouro,Primavera,3.6,Sim,Expressa,Sim,Sim,43,Venmo,Cada 3 Meses
98,21,Masculino,Shoes,Calçados,92,Virginia,M,Cerceta,Inverno,4.8,Sim,Retirada Na Loja,Sim,Sim,37,Cash,Anualmente
99,20,Masculino,Jeans,Roupas,67,New York,XL,Cerceta,Primavera,2.6,Sim,Ar Do Dia Seguinte,Sim,Sim,20,Bank Transfer,Anualmente
100,26,Masculino,Hoodie,Roupas,40,Missouri,XL,Indigo,Verão,3.7,Sim,Expressa,Sim,Sim,33,Debit Card,Trimestral
101,62,Masculino,Sunglasses,Acessórios,98,South Dakota,M,Marrom,Cair,2.7,Sim,Expressa,Sim,Sim,31,Cash,Quinzenal
102,27,Masculino,Coat,Agasalhos,85,North Dakota,XL,Branco,Primavera,4.6,Sim,Expressa,Sim,Sim,50,CVermelhoit Card,Bi-Semanalmente
103,51,Masculino,Socks,Roupas,67,Oklahoma,L,Tolet,Inverno,4.8,Sim,Ar Do Dia Seguinte,Sim,Sim,35,CVermelhoit Card,Trimestral
104,54,Masculino,Boots,Calçados,89,West Virginia,L,Vermelho,Inverno,4,Sim,Ar Do Dia Seguinte,Sim,Sim,22,Venmo,Bi-Semanalmente
105,55,Masculino,Sunglasses,Acessórios,24,New Hampshire,L,Rosa,Primavera,4.4,Sim,Envio Em 2 Dias,Sim,Sim,1,PayPal,Por Mês
106,69,Masculino,Backpack,Acessórios,96,New York,M,Carvão,Cair,3.6,Sim,Ar Do Dia Seguinte,Sim,Sim,4,Bank Transfer,Anualmente
107,64,Masculino,Jacket,Agasalhos,35,Minnesota,L,Branco,Verão,3.7,Sim,Padrão,Sim,Sim,31,CVermelhoit Card,Por Mês
108,28,Masculino,Sneakers,Calçados,67,Maryland,L,Oliva,Inverno,3.1,Sim,Ar Do Dia Seguinte,Sim,Sim,46,PayPal,Quinzenal
109,70,Masculino,Socks,Roupas,79,Montana,L,Roxa,Primavera,3.4,Sim,Ar Do Dia Seguinte,Sim,Sim,32,Bank Transfer,Bi-Semanalmente
110,58,Masculino,T-shirt,Roupas,85,Alabama,M,Tolet,Primavera,2.6,Sim,Ar Do Dia Seguinte,Sim,Sim,43,Bank Transfer,Quinzenal
111,56,Masculino,Backpack,Acessórios,26,New York,M,Preto,Verão,4,Sim,Padrão,Sim,Sim,26,Venmo,Quinzenal
112,26,Masculino,Belt,Acessórios,75,Massachusetts,L,Roxa,Verão,5,Sim,Frete Grátis,Sim,Sim,9,CVermelhoit Card,Anualmente
113,37,Masculino,Gloves,Acessórios,65,Florida,M,Vermelho,Primavera,4.3,Sim,Frete Grátis,Sim,Sim,28,PayPal,Bi-Semanalmente
114,44,Masculino,Hat,Acessórios,54,New Jersey,L,Marrom,Inverno,3.1,Sim,Ar Do Dia Seguinte,Sim,Sim,20,PayPal,Trimestral
115,70,Masculino,Coat,Agasalhos,95,Massachusetts,S,Azul,Verão,3.7,Sim,Retirada Na Loja,Sim,Sim,9,Cash,Semanalmente
116,53,Masculino,Skirt,Roupas,94,Wyoming,M,Cinza,Primavera,3.8,Sim,Padrão,Sim,Sim,48,Debit Card,Cada 3 Meses
117,55,Masculino,Shoes,Calçados,86,Virginia,S,Azul,Primavera,3.4,Sim,Frete Grátis,Sim,Sim,12,Venmo,Anualmente
118,50,Masculino,Sandals,Calçados,32,South Dakota,L,Yellow,Verão,4.6,Sim,Expressa,Sim,Sim,29,Cash,Quinzenal
119,50,Masculino,Sweater,Roupas,45,Kentucky,L,Laranja,Cair,4.8,Sim,Envio Em 2 Dias,Sim,Sim,27,Cash,Bi-Semanalmente
120,38,Masculino,Coat,Agasalhos,76,Wyoming,M,Laranja,Cair,4.3,Sim,Expressa,Sim,Sim,44,Cash,Anualmente
121,64,Masculino,Hat,Acessórios,84,West Virginia,L,Vermelho,Verão,4,Sim,Expressa,Sim,Sim,32,Bank Transfer,Anualmente
122,19,Masculino,Shorts,Roupas,72,Virginia,M,Oliva,Inverno,4.2,Sim,Padrão,Sim,Sim,11,Cash,Quinzenal
123,40,Masculino,Backpack,Acessórios,40,Washington,L,Marrom,Primavera,4.8,Sim,Envio Em 2 Dias,Sim,Sim,44,Cash,Quinzenal
124,57,Masculino,Sweater,Roupas,89,Louisiana,L,Marrom,Cair,3.1,Sim,Frete Grátis,Sim,Sim,46,Cash,Semanalmente
125,44,Masculino,Sweater,Roupas,86,Nevada,M,Cinza,Primavera,3.1,Sim,Ar Do Dia Seguinte,Sim,Sim,50,PayPal,Anualmente
126,49,Masculino,Shorts,Roupas,54,California,M,Indigo,Inverno,3.6,Sim,Ar Do Dia Seguinte,Sim,Sim,45,Venmo,Cada 3 Meses
127,43,Masculino,Shorts,Roupas,36,Mississippi,L,Rosa,Primavera,3.9,Sim,Retirada Na Loja,Sim,Sim,48,Cash,Cada 3 Meses
128,24,Masculino,Sweater,Roupas,89,Mississippi,M,Cinza,Inverno,4.8,Sim,Ar Do Dia Seguinte,Sim,Sim,26,CVermelhoit Card,Semanalmente
129,20,Masculino,Scarf,Acessórios,32,California,M,Ouro,Primavera,4.7,Sim,Padrão,Sim,Sim,21,CVermelhoit Card,Quinzenal
130,24,Masculino,Dress,Roupas,67,Pennsylvania,XL,Oliva,Verão,4.2,Sim,Envio Em 2 Dias,Sim,Sim,49,PayPal,Bi-Semanalmente
131,44,Masculino,Scarf,Acessórios,39,Kentucky,L,Tolet,Cair,3.7,Sim,Ar Do Dia Seguinte,Sim,Sim,13,PayPal,Quinzenal
132,28,Masculino,Skirt,Roupas,29,Maine,L,Indigo,Verão,3.9,Sim,Padrão,Sim,Sim,46,CVermelhoit Card,Semanalmente
133,30,Masculino,Backpack,Acessórios,58,New Mexico,M,Laranja,Cair,4.7,Sim,Envio Em 2 Dias,Sim,Sim,42,PayPal,Semanalmente
134,52,Masculino,Sweater,Roupas,65,Montana,M,Tolet,Inverno,2.5,Sim,Ar Do Dia Seguinte,Sim,Sim,25,Venmo,Anualmente
135,43,Masculino,Hat,Acessórios,94,Texas,L,Cinza,Cair,4.9,Sim,Retirada Na Loja,Sim,Sim,25,Cash,Por Mês
136,43,Masculino,Sandals,Calçados,81,Kansas,M,Roxa,Cair,4.1,Sim,Expressa,Sim,Sim,12,PayPal,Trimestral
137,39,Masculino,Blouse,Roupas,86,South Carolina,M,Branco,Inverno,3.3,Sim,Frete Grátis,Sim,Sim,4,Debit Card,Trimestral
138,68,Masculino,Sneakers,Calçados,43,Colorado,M,Turquesa,Primavera,4.7,Sim,Frete Grátis,Sim,Sim,38,PayPal,Semanalmente
139,68,Masculino,Skirt,Roupas,29,Georgia,M,Marrom,Inverno,4.4,Sim,Retirada Na Loja,Sim,Sim,42,Bank Transfer,Semanalmente
140,49,Masculino,Coat,Agasalhos,95,Florida,M,Branco,Cair,3.8,Sim,Retirada Na Loja,Sim,Sim,30,Venmo,Anualmente
141,63,Masculino,Shirt,Roupas,28,North Carolina,L,Yellow,Cair,3.9,Sim,Envio Em 2 Dias,Sim,Sim,50,CVermelhoit Card,Semanalmente
142,56,Masculino,Gloves,Acessórios,46,Virginia,M,Turquesa,Cair,4.9,Sim,Frete Grátis,Sim,Sim,45,PayPal,Semanalmente
143,37,Masculino,Jacket,Agasalhos,58,Nebraska,L,Tolet,Cair,3.1,Sim,Frete Grátis,Sim,Sim,33,CVermelhoit Card,Quinzenal
144,30,Masculino,Coat,Agasalhos,48,Missouri,M,Bege,Cair,2.7,Sim,Retirada Na Loja,Sim,Sim,25,PayPal,Trimestral
145,19,Masculino,Shoes,Calçados,43,New Jersey,M,Prata,Cair,3.2,Sim,Expressa,Sim,Sim,25,Cash,Por Mês
146,24,Masculino,Jewelry,Acessórios,95,Missouri,M,Cerceta,Cair,4.5,Sim,Padrão,Sim,Sim,44,Debit Card,Trimestral
147,52,Masculino,Skirt,Roupas,30,Colorado,S,Preto,Cair,4,Sim,Padrão,Sim,Sim,21,Venmo,Quinzenal
148,63,Masculino,Shoes,Calçados,64,Idaho,M,Roxa,Verão,3.5,Sim,Envio Em 2 Dias,Sim,Sim,31,Bank Transfer,Quinzenal
149,37,Masculino,Gloves,Acessórios,90,Wyoming,M,Cinza,Cair,2.6,Sim,Retirada Na Loja,Sim,Sim,47,Debit Card,Anualmente
150,38,Masculino,Pants,Roupas,76,Delaware,M,Branco,Verão,3.2,Sim,Frete Grátis,Sim,Sim,14,PayPal,Por Mês
151,35,Masculino,Boots,Calçados,96,California,L,Ciano,Cair,4.9,Sim,Padrão,Sim,Sim,17,Debit Card,Cada 3 Meses
152,28,Masculino,Sunglasses,Acessórios,47,North Dakota,L,Turquesa,Cair,4.5,Sim,Ar Do Dia Seguinte,Sim,Sim,3,Venmo,Anualmente
153,30,Masculino,Shirt,Roupas,85,South Carolina,S,Marrom,Verão,4.3,Sim,Expressa,Sim,Sim,42,Venmo,Anualmente
154,69,Masculino,Hoodie,Roupas,55,North Carolina,M,Marrom,Inverno,3.2,Sim,Padrão,Sim,Sim,22,Debit Card,Anualmente
155,41,Masculino,Dress,Roupas,98,Oklahoma,M,Carvão,Cair,3.6,Sim,Ar Do Dia Seguinte,Sim,Sim,21,Venmo,Trimestral
156,63,Masculino,Socks,Roupas,77,Maine,S,Oliva,Primavera,4.3,Sim,Frete Grátis,Sim,Sim,21,Bank Transfer,Trimestral
157,35,Masculino,Shorts,Roupas,26,Missouri,M,Lavanda,Cair,4,Sim,Padrão,Sim,Sim,40,Debit Card,Anualmente
158,36,Masculino,Hat,Acessórios,68,Vermont,S,Yellow,Cair,3,Sim,Ar Do Dia Seguinte,Sim,Sim,1,Bank Transfer,Quinzenal
159,25,Masculino,Shirt,Roupas,73,Connecticut,XL,Cerceta,Cair,4.1,Sim,Padrão,Sim,Sim,50,Bank Transfer,Por Mês
160,58,Masculino,Gloves,Acessórios,27,New Hampshire,M,Carvão,Cair,3.8,Sim,Retirada Na Loja,Sim,Sim,39,Bank Transfer,Cada 3 Meses
161,27,Masculino,Gloves,Acessórios,23,Texas,M,Laranja,Verão,4.6,Sim,Frete Grátis,Sim,Sim,34,Venmo,Por Mês
162,65,Masculino,Backpack,Acessórios,49,North Dakota,M,Oliva,Cair,3,Sim,Expressa,Sim,Sim,29,Venmo,Quinzenal
163,54,Masculino,Sunglasses,Acessórios,74,California,M,Turquesa,Verão,3,Sim,Retirada Na Loja,Sim,Sim,31,PayPal,Bi-Semanalmente
164,54,Masculino,Skirt,Roupas,67,Virginia,M,Roxa,Verão,3.4,Sim,Padrão,Sim,Sim,8,Debit Card,Semanalmente
165,59,Masculino,Handbag,Acessórios,65,Delaware,S,Roxa,Primavera,2.6,Sim,Frete Grátis,Sim,Sim,5,CVermelhoit Card,Quinzenal
166,42,Masculino,Handbag,Acessórios,60,Kentucky,S,Yellow,Inverno,2.8,Sim,Retirada Na Loja,Sim,Sim,7,Cash,Por Mês
167,46,Masculino,Sneakers,Calçados,31,Delaware,XL,Indigo,Cair,4,Sim,Retirada Na Loja,Sim,Sim,30,Cash,Por Mês
168,33,Masculino,Gloves,Acessórios,27,Arkansas,M,Verde,Cair,4,Sim,Expressa,Sim,Sim,14,CVermelhoit Card,Cada 3 Meses
169,34,Masculino,Shoes,Calçados,80,Louisiana,M,Magenta,Verão,3,Sim,Expressa,Sim,Sim,5,Cash,Quinzenal
170,27,Masculino,Jacket,Agasalhos,30,Nevada,S,Ouro,Verão,3.3,Sim,Padrão,Sim,Sim,3,PayPal,Cada 3 Meses
171,52,Masculino,Shirt,Roupas,25,Wyoming,M,Marrom,Cair,2.6,Sim,Retirada Na Loja,Sim,Sim,46,Venmo,Bi-Semanalmente
172,29,Masculino,Shorts,Roupas,35,Virginia,M,Azul,Verão,3.6,Sim,Retirada Na Loja,Sim,Sim,4,CVermelhoit Card,Semanalmente
173,54,Masculino,Jewelry,Acessórios,67,Nebraska,M,Tolet,Verão,3.9,Sim,Ar Do Dia Seguinte,Sim,Sim,42,CVermelhoit Card,Bi-Semanalmente
174,25,Masculino,Hat,Acessórios,46,Hawaii,M,Turquesa,Cair,3.4,Sim,Padrão,Sim,Sim,30,Cash,Anualmente
